NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
PORTO WILMA,64610000,Ativo,DEODÁPOLIS-MS,-22.06860,-54.22920,283.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,64,64211700
UHE ITAIPU IVINHEMA,64617000,Ativo,IVINHEMA-MS,-22.38250,-53.52860,243.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,64210000
UHE ITAIPU CAIUÁ,64618500,Ativo,NAVIRAI-MS,-23.26690,-53.71280,227.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,60001000
UHE ITAIPU FLORIDA,64715001,Ativo,CAARAPÓ-MS,-22.97190,-54.56330,270.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,64420000
PORTO SÃO DOMINGOS,64723000,Ativo,PARANHOS-MS,-23.64860,-55.38940,319.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,64,64440000
UHE ITAIPU ESTRADA DO IGUATEMI,64725000,Ativo,JAPORÃ-MS,-23.73610,-54.53920,340.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,64440000
PCH SANTA GABRIELA MONTANTE 1,66483600,Ativo,SONORA-MS,-17.54440,-54.41390,461.00,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,Setor Elétrico,6,66,66225540
PCH SANTA GABRIELA MONTANTE 2,66483800,Ativo,SONORA-MS,-17.51640,-54.41780,465.00,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,Setor Elétrico,6,66,66202100
PCH SANTA GABRIELA BARRAMENTO,66484000,Ativo,SONORA-MS,-17.53780,-54.43250,464.00,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,Setor Elétrico,6,66,66225540
PCH SANTA GABRIELA JUSANTE,66484500,Ativo,SONORA-MS,-17.53280,-54.44500,418.00,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,00628 - SANTA GABRIELA - Santa Gabriela Energética S.A,Setor Elétrico,6,66,66225540
PCH AQUARIUS MONTANTE,66493900,Ativo,SONORA-MS,-17.61750,-54.88670,263.00,00473 - AQUARIUS - Aquarius Energética S.A,00473 - AQUARIUS - Aquarius Energética S.A,Setor Elétrico,6,66,66225540
PCH AQUÁRIUS BARRAMENTO,66494000,Ativo,SONORA-MS,-17.61830,-54.88830,262.00,00473 - AQUARIUS - Aquarius Energética S.A,00473 - AQUARIUS - Aquarius Energética S.A,Setor Elétrico,6,66,66225540
SÃO FRANCISCO,66810000,Ativo,CORUMBÁ-MS,-18.39390,-57.39110,83.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66001000
LADÁRIO (BASE NAVAL),66825000,Ativo,LADÁRIO-MS,-19.00170,-57.59420,82.15,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66001000
LADÁRIO (BASE NAVAL),66825000,Ativo,LADÁRIO-MS,-19.00170,-57.59420,82.15,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,66,66001000
GARIMPAGEM,66855000,Ativo,COXIM-MS,-18.71360,-54.56720,238.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,66,66323200
PCH PONTE ALTA BARRAMENTO,66859000,Ativo,SÃO GABRIEL DO OESTE-MS,-19.41030,-54.49310,454.00,00316 - PONTE ALTA - Energética Ponte Alta S.A,00316 - PONTE ALTA - Energética Ponte Alta S.A,Setor Elétrico,6,66,66323000
PCH PONTE ALTA JUSANTE,66861000,Ativo,SÃO GABRIEL DO OESTE-MS,-19.41330,-54.45890,447.00,00316 - PONTE ALTA - Energética Ponte Alta S.A,00316 - PONTE ALTA - Energética Ponte Alta S.A,Setor Elétrico,6,66,66323000
COXIM,66870000,Ativo,COXIM-MS,-18.50780,-54.76190,190.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ANA/INPE-SIVAM,6,66,66320000
COXIM,66870000,Ativo,COXIM-MS,-18.50780,-54.76190,190.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66320000
COXIM,66870000,Ativo,COXIM-MS,-18.50780,-54.76190,190.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,66,66320000
ESTRADA MT-738,66900000,Ativo,BONITO-MS,-20.76190,-56.09110,133.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66420000
MIRANDA,66910000,Ativo,MIRANDA-MS,-20.24080,-56.39920,108.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66420000
MIRANDA,66910000,Ativo,MIRANDA-MS,-20.24080,-56.39920,108.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,CotaOnline,6,66,66420000
PALMEIRAS,66941000,Ativo,DOIS IRMÃOS DO BURITI-MS,-20.44810,-55.42810,162.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66425000
AQUIDAUANA,66945000,Ativo,AQUIDAUANA-MS,-20.47830,-55.80140,133.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ANA/INPE-SIVAM,6,66,66425000
AQUIDAUANA,66945000,Ativo,AQUIDAUANA-MS,-20.47830,-55.80140,133.00,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66425000
PORTO ESPERANÇA,66960008,Ativo,CORUMBÁ-MS,-19.60060,-57.43720,79.66,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,66,66001000
PORTO ESPERANÇA,66960008,Ativo,CORUMBÁ-MS,-19.60060,-57.43720,79.66,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,ANA/INPE-SIVAM,6,66,66001000
PORTO MURTINHO,67100000,Ativo,PORTO MURTINHO-MS,-21.70030,-57.89110,70.75,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,RHN,6,67,66001000
